1,3.1234
2,3.1341
3,4.1234
4,5.124
5,6.1241
6,7.23452
7,7.863206667
8,8.73538381
9,9.607560952
10,10.4797381
11,11.35191524
12,12.22409238
13,13.09626952
14,13.96844667
15,14.84062381
16,15.71280095
17,16.5849781
18,17.45715524
19,18.32933238
20,19.20150952
21,20.07368667
22,20.94586381
23,21.81804095
24,22.6902181
25,23.56239524
26,24.43457238
27,25.30674952
28,26.17892667
29,27.05110381
30,27.92328095
31,28.7954581
32,29.66763524
33,30.53981238
34,31.41198952
35,32.28416667
36,33.15634381
37,34.02852095
38,34.9006981
39,35.77287524
